Class Times	10
Rooms	20
1	291
2	81
3	155
4	100
5	217
6	774
7	342
8	389
9	854
10	62
11	856
12	817
13	916
14	239
15	145
16	764
17	451
18	637
19	357
20	29
Classes	80
Teachers	40
1	16
2	22
3	5
4	35
5	22
6	18
7	16
8	5
9	32
10	11
11	8
12	29
13	32
14	35
15	7
16	9
17	30
18	7
19	8
20	21
21	18
22	34
23	17
24	21
25	24
26	14
27	20
28	20
29	19
30	30
31	4
32	26
33	14
34	29
35	34
36	33
37	37
38	17
39	24
40	39
41	9
42	13
43	23
44	36
45	11
46	27
47	6
48	6
49	33
50	39
51	23
52	25
53	27
54	3
55	36
56	13
57	15
58	26
59	1
60	2
61	25
62	19
63	31
64	3
65	1
66	2
67	10
68	28
69	12
70	31
71	12
72	10
73	28
74	38
75	38
76	4
77	37
78	40
79	40
80	15
