Class Times	10
Rooms	10
1	242
2	105
3	457
4	164
5	716
6	323
7	564
8	216
9	376
10	761
Classes	80
Teachers	40
1	29
2	25
3	40
4	29
5	1
6	36
7	32
8	38
9	15
10	16
11	3
12	1
13	18
14	16
15	39
16	4
17	17
18	7
19	37
20	2
21	20
22	21
23	38
24	4
25	19
26	18
27	39
28	10
29	11
30	9
31	21
32	17
33	15
34	24
35	23
36	26
37	24
38	22
39	9
40	6
41	31
42	5
43	6
44	8
45	31
46	27
47	23
48	10
49	28
50	22
51	14
52	5
53	8
54	27
55	32
56	14
57	3
58	35
59	13
60	40
61	35
62	28
63	2
64	19
65	36
66	33
67	12
68	33
69	34
70	34
71	26
72	37
73	13
74	7
75	11
76	30
77	25
78	20
79	30
80	12
