Class Times	20
Rooms	10
1	396
2	946
3	621
4	750
5	948
6	800
7	883
8	640
9	377
10	601
Classes	80
Teachers	40
1	18
2	1
3	23
4	17
5	14
6	13
7	11
8	22
9	38
10	9
11	27
12	12
13	15
14	19
15	10
16	17
17	33
18	31
19	31
20	36
21	37
22	32
23	22
24	2
25	10
26	32
27	6
28	16
29	40
30	12
31	19
32	26
33	6
34	30
35	5
36	18
37	25
38	40
39	7
40	27
41	8
42	2
43	39
44	25
45	15
46	35
47	23
48	36
49	1
50	29
51	28
52	26
53	5
54	34
55	24
56	35
57	39
58	20
59	33
60	28
61	24
62	37
63	3
64	30
65	38
66	4
67	4
68	9
69	13
70	7
71	20
72	3
73	29
74	16
75	34
76	21
77	21
78	11
79	14
80	8
