Students	100
1	30 6 47 5
2	3 49 12 7
3	17 28 10 1
4	35 37 27 6
5	35 38 16 42
6	18 39 12 1
7	2 17 22 26
8	12 22 33 6
9	20 4 5 21
10	13 7 17 28
11	7 9 11 16
12	36 47 23 5
13	11 37 38 9
14	37 42 30 1
15	14 13 10 36
16	37 26 48 45
17	20 33 50 37
18	44 13 43 3
19	35 13 24 41
20	20 2 6 9
21	3 23 44 29
22	43 33 17 2
23	5 6 33 26
24	43 48 21 31
25	18 32 38 2
26	19 12 31 20
27	4 7 31 26
28	23 25 47 28
29	48 8 24 1
30	42 31 20 22
31	17 34 25 27
32	20 2 28 26
33	14 25 11 15
34	36 20 19 13
35	39 8 7 31
36	22 24 13 43
37	40 15 35 12
38	5 3 22 31
39	40 35 32 42
40	42 23 18 22
41	38 20 26 8
42	47 10 11 34
43	21 12 33 4
44	28 45 9 48
45	14 35 26 24
46	14 4 12 1
47	8 48 6 40
48	49 28 21 47
49	28 7 29 34
50	2 43 34 49
51	3 24 21 44
52	21 9 16 37
53	31 8 44 19
54	8 32 39 4
55	20 39 42 30
56	32 12 8 23
57	19 12 37 36
58	26 24 48 13
59	40 26 20 44
60	25 45 22 30
61	16 26 20 48
62	23 14 21 38
63	39 50 14 16
64	10 22 46 41
65	13 43 32 45
66	29 20 23 27
67	8 36 46 40
68	13 33 2 4
69	32 28 48 22
70	36 41 33 16
71	11 17 22 28
72	38 14 40 23
73	43 3 10 47
74	12 39 31 6
75	16 40 8 19
76	49 27 48 39
77	17 25 43 15
78	43 17 31 5
79	4 33 40 43
80	9 13 25 26
81	32 11 16 49
82	29 46 23 20
83	41 30 1 14
84	30 2 25 21
85	45 31 3 34
86	36 20 3 29
87	21 14 49 38
88	35 3 45 16
89	50 32 28 19
90	30 37 27 6
91	3 8 49 34
92	26 22 18 33
93	20 35 27 38
94	4 13 10 44
95	7 26 46 6
96	12 33 2 40
97	27 25 6 13
98	11 38 28 12
99	6 24 29 39
100	11 8 5 7
