Class Times	3
Rooms	30
1	306
2	845
3	432
4	855
5	196
6	959
7	374
8	113
9	951
10	48
11	477
12	398
13	502
14	855
15	523
16	780
17	330
18	12
19	167
20	141
21	271
22	366
23	964
24	273
25	962
26	301
27	255
28	908
29	62
30	892
Classes	90
Teachers	45
1	7
2	20
3	10
4	10
5	45
6	19
7	23
8	40
9	11
10	3
11	13
12	31
13	30
14	42
15	43
16	11
17	16
18	42
19	3
20	18
21	37
22	40
23	20
24	27
25	43
26	28
27	27
28	29
29	36
30	24
31	28
32	34
33	33
34	24
35	5
36	29
37	6
38	37
39	12
40	36
41	18
42	41
43	1
44	4
45	44
46	5
47	2
48	19
49	12
50	6
51	44
52	35
53	38
54	22
55	7
56	30
57	31
58	26
59	41
60	21
61	26
62	23
63	4
64	25
65	35
66	8
67	14
68	9
69	21
70	17
71	38
72	22
73	45
74	25
75	15
76	33
77	14
78	1
79	32
80	8
81	2
82	39
83	16
84	15
85	9
86	13
87	32
88	17
89	34
90	39
